product name,Price_discount,Price_original,Details
Yu Desi Chowmein With Sauce And Veggies + Yu Instant Schezwan Hakka Noodles (Steamed Hakka + Sauce + Veggies) Combo,₹ 38,₹ 75,
MasterChow Chinese Hakka Noodles + Healthy Whole Wheat Noodles Combo,₹ 210,₹ 300,140 g
Yu Chilli Chicken Instant Cup Noodles + Yu Instant Kung Pao Chicken Hakka Noodles (Steamed Hakka + Sauce + Chicken) Combo,₹ 86,₹ 99,
Yu Desi Chowmein With Sauce And Veggies + Yu Chilli Manchurian Instant Cup Noodles Combo,₹ 95,₹ 138,70 g + 80 g
Yu Chilli Chicken Instant Cup Noodles + Yu Instant Schezwan Hakka Noodles (Steamed Hakka + Sauce + Veggies) Combo,₹ 65,₹ 130,1 x 100 g + 1 x 100 g
Yu Chilli Manchurian Instant Cup Noodles + Yu Instant Schezwan Hakka Noodles (Steamed Hakka + Sauce + Veggies) Combo,₹ 64,₹ 120,90 g + 100 g
Yu Desi Chowmein With Sauce And Veggies + Yu Chilli Chicken Instant Cup Noodles Combo,₹ 248,₹ 310,300 g + 300 g
MasterChow Crunchy Garlic Chilli Crisps + Healthy Whole Wheat Noodles Combo,₹ 86,₹ 144,70 g + 100 g
Moi Soi Soi Udon Flat Noodles + Soi Veg Long Hakka Noodles Combo,₹ 80,₹ 120,90 g + 70 g
Nongshim Shin Ramyun Spicy Flavoured Instant Noodle Soup,₹ 81,₹ 134,70 g + 100 g
Samyang Ramen Instant Noodles - Carbo Hot Chicken Flavour,₹ 81,₹ 130,70 g + 100 g
Real Thai Rice Paper,₹ 80,₹ 124,90 g + 70 g
Samyang Ramen Instant Noodles - Cheese Hot Chicken Flavour,₹ 452,₹ 565,300 g + 170 g
Samyang 2x Spicy Ramen Instant Noodles - Hot Chicken Flavour,₹ 164,₹ 198,150 g + 150 g
Nongshim Shin Cup Noodles,₹ 129,,
Samyang Ramen Instant Noodles - Hot Chicken Flavour,₹ 150,,130 g
Nongshim Shin Red Super Spicy Noodles,₹ 185,,100 g
Nongshim Kimchi Ramyun Noodle Soup,₹ 150,,140 g
Kab's Jackpot Korean Ramyun Soup Noodles,₹ 140,,140 g
Nongshim Kimchi Shin Noodle Soup,₹ 129,,68 g
Samyang Ramen Instant Noodles - Jjajang Hot Chicken Flavour,₹ 140,,140 g
Nongshim Shin Ramyun Spicy Chicken Noodles Soup - Pack of 2,₹ 129,,120 g
Nongshim Big Bowl Shin Kimchi Noodle Soup,₹ 129,,120 g
Samyang Ramen Instant Noodles - Kimchi,₹ 47,₹ 50,100 g
Kab's Jackpot 2x Hot & Spicy Instant Noodles,₹ 129,,75 g
Real Thai Rice Stick Noodles,₹ 150,,140 g
YOPOKKI Cheese Topokki Rice Cake,₹ 149,₹ 298,2 x 120 g
YOPOKKI Jjajang Topokki Rice Cake,₹ 129,,68 g
MasterChow Green Chilli Sauce + Healthy Whole Wheat Noodles Combo,₹ 165,,112 g
MasterChow Green Chilli Sauce + Chinese Hakka Noodles Combo,₹ 120,,120 g
MasterChow Red Chilli Sauce + Chinese Hakka Noodles Combo,₹ 47,₹ 50,100 g
MasterChow Red Chilli Sauce + Healthy Whole Wheat Noodles Combo,₹ 240,,375 g
Nongshim Bowl Spicy Chicken Noodle Soup,₹ 305,,180 g
Kab's Jackpot 2X Chicken Schezwan Ramen Noodles,₹ 305,,180 g
Kab's Jackpot Schezwan Curry Noodles,₹ 176,₹ 234,190 g + 300 g
Nongshim Shin Ramyun Spicy Chicken Noodles Soup,₹ 161,₹ 214,190 g + 300 g
MasterChow Dark Soya Sauce + Chinese Hakka Noodles Combo,₹ 161,₹ 214,200 g + 300 g
MasterChow Dark Soya Sauce + Healthy Whole Wheat Noodles Combo,₹ 176,₹ 234,200 g + 300 g
Nongshim Shin Ramyun Kimchi Flavoured Instant Noodles,₹ 165,,100 g
Real Thai Rice Stick Pad Thai Noodles,₹ 47,₹ 50,100 g
Agnesi Le Lasagne Sheet Pasta,₹ 47,₹ 50,100 g
Samyang Buldak Carbonara Hot Chicken Flavoured Instant Noodles / Ramen,₹ 149,,120 g
Indomie Flavoured Instant Noodles - Rasa Kari Ayam,₹ 182,₹ 214,210 g + 300 g
Nongshim Red Super Spicy Flavoured Instant Noodles,₹ 199,₹ 234,210 g + 300 g
Sakura Udon Noodles,₹ 540,₹ 599,5 x 120 g
MasterChow Chowmein Sauce + Healthy Whole Wheat Noodles Combo,₹ 250,,375 g
Samyang Buldak Hot Chicken Flavoured Instant Noodles / Ramen,₹ 325,,500 g
Samyang Ramen Buldak Cheese Hot Chicken Flavoured Instant Noodles,₹ 750,,650 g
Indomie Flavoured Instant Noodles - Rasa Soto Mie,₹ 90,,70 g
Kab's Jackpot Hot & Spicy Flavoured Instant Noodles,₹ 540,₹ 599,5 x 120 g
Urban Platter Shirataki Noodles,₹ 225,,300 g
Ottogi Regular Round Wheat Noodles,₹ 285,₹ 335,220 g + 300 g
MasterChow Healthy Whole Wheat Noodles + Bang Bang Chilli & Garlic Stir Fry Cooking Sauce (Ready to Cook) Combo,₹ 700,,700 g
Sunfeast Yippee Magic Masala Instant Noodles (240 g) + Sunfeast Yippee Tricolor Instant Pasta - Masala Combo,₹ 750,,700 g
Yu Zingy Cheese Instant Cup Noodles + Yu Three Cheese Instant Pasta Cup Combo,₹ 90,,70 g
Sunfeast Yippee Magic Masala Instant Noodles + Sunfeast Yippee Tricolor Instant Pasta - Masala Combo,₹ 235,₹ 250,1 pack ( 100 g x 5 pieces)
Sunfeast Yippee Magic Masala Instant Noodles (240 g) + Sunfeast Yippee Instant Pasta Treat - Cheese Combo,₹ 200,,270 g
Sunfeast Yippee Magic Masala Instant Noodles + Sunfeast Yippee Instant Pasta Treat - Cheese Combo,₹ 360,,500 g
Yu Chilli Manchurian Instant Cup Noodles + Yu Peri Peri Instant Pasta Cup Combo,₹ 324,₹ 405,220 g + 300 g
Moi Soi Sichuan Chilli Oil + Moi Soi Udon Flat Noodles Combo,₹ 71,₹ 84,240 g + 65 g
Moi Soi Soi Sichuan Chilli Oil + Soi Veg Long Hakka Noodles Combo,₹ 115,₹ 164,80 g + 65 g
MasterChow Chinese Hakka Noodles + Bang Bang Chilli & Garlic Stir Fry Cooking Sauce (Ready to Cook) Combo,₹ 152,₹ 196,12 x 60 g + 65 g
Maggi 2-Minute Special Masala Instant Noodles - Pack of 2,₹ 71,₹ 84,240 g + 65 g
Nissin Geki Hot & Spicy Korean Chicken Cup Noodles,₹ 152,₹ 196,12 x 60 g + 65 g
Nissin Geki - Hot & Spicy Korean Chicken Flavoured Instant Noodles - Pack of 3,₹ 112,₹ 160,70 g + 60 g
Knorr Korean Ramen Spicy Jjajangmyeon Veg Flavoured Instant Noodles,₹ 315,₹ 379,175 g + 150 g
Sunfeast Yippee Power up Atta Instant Noodles,₹ 315,₹ 379,175 g + 150 g
WickedGud Masala Flavoured Instant Noodles - Pack of 2,₹ 308,₹ 385,220 g + 300 g
Sunfeast Yippee Magic With Millets Flavoured Instant Noodles,₹ 159,₹ 160,
Sunfeast Yippee Quik Mealz Veggie Delight Cup Noodles - Pack of 2,₹ 72,₹ 89,70 g
MasterChow Schezwan Noodles with Cooking Sauce - Pack of 2,₹ 128,₹ 147,
WickedGud Schezwan Instant Noodles,₹ 54,₹ 60,110 g
MasterChow Sweet & Spicy Noodles with Cooking Sauce - Pack of 2,₹ 96,₹ 112,
MasterChow Thai Basil Noodles with Cooking Sauce - Pack of 2,₹ 135,₹ 270,
WickedGud Curry Instant Noodles,₹ 81,₹ 120,280 g
Sunfeast Yippee Quik Mealz Chicken Delight Cup Noodles - Pack of 2,₹ 75,₹ 100,2 x 70 g
Nongshim Stir Fry Shin Ramyun Noodles With Cheese,₹ 162,₹ 290,2 x 210 g
Samyang Buldak Carbonara Hot Chicken Ramen Cup Noodles,₹ 68,₹ 135,207 g
Samyang Buldak Hot Chicken Ramen Cup Noodles (Halal),₹ 181,₹ 330,2 x 210 g
Indomie Mi Goreng Flavoured Instant Noodles,₹ 181,₹ 330,2 x 210 g
Ottogi Yeul Ramen Noodles,₹ 115,₹ 135,201 g
Tata Tea Premium Tea - Pack of 2,₹ 75,₹ 100,2 x 70 g
Tata Tea Premium Tea (100 g) - Pack of 2,₹ 169,,136 g
Tata Tea Gold,₹ 135,,80 g
Wagh Bakri Spiced Tea,₹ 130,,70 g
Tata Tea Premium,₹ 86,₹ 90,85 g
Brooke Bond Red Label Natural Care Tea,₹ 100,,120 g
Brooke Bond Taj Mahal Tea,₹ 258,₹ 260,
Brooke Bond Taj Mahal Tea 500 g,₹ 79,₹ 80,2 x 100 g
Tata Tea Agni Special Blend Tea,₹ 319,₹ 335,
Wagh Bakri Premium Tea (250 g),₹ 145,₹ 160,250 g
Brooke Bond Taaza Tea,₹ 472,₹ 705,
Brooke Bond Taj Mahal Tea 250 g,₹ 155,,
Wagh Bakri Premium Tea (500 g),₹ 55,,
Brooke Bond Taj Mahal Tea (1 kg),₹ 310,₹ 335,500 g
Brooke Bond Taj Mahal Tea Bags,₹ 230,,
Tata Tea Gold Black Tea,₹ 150,,
Tata Tea Gold Care,₹ 492,₹ 630,1 kg
Tata Tea Premium Tea Bags,₹ 230,,1 kg
Marvel Premium Tea,₹ 255,₹ 300,
Tata Tea Gold Tea - Pack of 2,₹ 170,,
Chaayos Masala Chai Tea Bags,₹ 270,₹ 295,500 g
Wagh Bakri Premium Leaf Tea,₹ 600,₹ 650,1 kg
Tata Tea Premium Mumbai Cutting Chai - Pack of 2,₹ 220,,100 units
Tetley Premium Black Leaf Tea (250 g) - Pack of 2,₹ 50,,100 g
Typhoo Classic Assam Tea Bags,₹ 145,₹ 170,
Society Masala Tea,₹ 155,,
Tata Tea Premium Mumbai Cutting Chai,₹ 77,₹ 150,250 g
Society Masala Instant Tea Premix,₹ 99,₹ 100,2 x 100 g
Organic India Tulsi Ginger Tea Bags,₹ 187,₹ 199,25 units
Society Tea,₹ 545,₹ 580,
Saburi Elaichi Tea,₹ 230,₹ 290,2 x 250 g
Tata Tea Premium Purani Dilli Ki Mithai Chai,₹ 388,₹ 460,2 x 250 g
Wagh Bakri Navchetan Leaf Tea,₹ 150,,250 g
Society Elaichi Adrak Flavour Tea,₹ 113,₹ 210,100 units
Dorje Teas The Original Chai,₹ 155,₹ 170,250 g
Girnar Ginger Chai Instant Tea Premix,₹ 116,₹ 145,250 g
Society Elaichi Instant Tea Premix,₹ 125,₹ 150,
Organic India Tulsi Original Tea Bags,₹ 157,₹ 195,
Tetley Premium Black Leaf Tea (250 g),₹ 135,₹ 145,250 g
Tetley Premium Black Leaf Tea (500 g),₹ 299,₹ 360,1 kg
Dorje Teas Roasted Darjeeling Tea,₹ 116,₹ 145,250 g
Marvel Yellow Tea,₹ 200,₹ 220,1 kg
Tata Tea Premium Purani Dilli Ki Mithai Chai - Pack of 2,₹ 170,₹ 180,250 g
Twinings Earl Grey Green Tea Bags,₹ 172,₹ 249,250 g
Brooke Bond Red Label Tea - Pack of 2,₹ 150,,10 units
Brooke Bond Red Label Tea,₹ 279,₹ 550,
Girnar Masala Instant Tea Premix,₹ 125,₹ 150,
Twinings Mint Green Tea Bags,₹ 179,₹ 195,
Parle Platina Hide & Seek Choco Rolls Sandwich Cream Biscuits,₹ 196,₹ 230,250 g
"Parle Center Filled Biscuits (Choco, Milano Collection)",₹ 520,₹ 570,1 kg
Britannia Shubhkamnaye Meetha Namkeen Delights Biscuits Gift Pack,₹ 340,₹ 425,500 g
Lotte Choco Pie Gift Box,₹ 197,₹ 249,100 g
Open Secret Chocolate Nutty Cookies Gift Hamper (Assorted),₹ 429,₹ 450,1 kg
Britannia Shubhkamnaye Choco Delights Biscuits Gift Pack,₹ 230,₹ 290,2 x 250 g
Oreo Moments Assorted Biscuits Gift Pack,₹ 314,,25 pieces
Winkies Festives Swiss Roll,₹ 258,₹ 260,
Open Secret Celebration Cookies Gift Pack with Assorted Chocolate,₹ 425,₹ 510,
Open Secret Festive Nutty Cookies Gift Pack,₹ 150,,1 pack (10 pieces)
Orion Choco Pie Biscuits Gift Pack,₹ 314,,25 pieces
Orion Strawberry Choco Pie,₹ 88,₹ 170,250 g
Unibic Assorted Cookies / Biscuits Gift Pack - Pack of 6,₹ 88,₹ 170,250 g
"Open Secret Assorted Cookies Gift Pack - Choco Almonds, White Choco Cashews & Peanut Butter",₹ 48,₹ 120,
"Open Secret Assorted Cookies Gift Pack - Choco Almonds, White Choco Cashews & Peanut Butter + Open Secret Un-Junked Chocolate Almond Brownie + Open Secret Dark Choco Almond Chocolate Bar Pack Combo",₹ 250,₹ 300,1 pack (24 pieces)
"Open Secret Assorted Chocolate Cookies - Choco Almonds, White Choco Cashews & Peanuts Butter - Pack of 2",₹ 143,₹ 350,
Winkies Novo Chocolate Cake,₹ 80,₹ 200,500 g
Britannia Shubhkamnaye Dry Fruit Delights Biscuits Gift Pack,₹ 170,₹ 200,
"Parle Platina Hide & Seek Center Filled Biscuits (Choco, Milano Collection) - Pack of 2",₹ 200,,300 g
McVitie's Festivities Assorted Biscuit,₹ 250,₹ 500,1 pack
McVitie's Festivities Assorted Cookies Gift Pack,₹ 275,₹ 550,1 pack (150 g)
Nova Nova Special Celebration Chocolate Gift Box,₹ 241,₹ 350,
Sapphire Butter Cookies Gift Pack (Gold Collection),₹ 263,₹ 350,1 pack (25 g x 20 pieces)
Shayam Chikki/Gajak by Vijay Kumar Ajay Kumar Garg,₹ 153,₹ 180,6 x 75 g
Besan Laddu by Bikano,₹ 97,₹ 105,75 g
Peanut Gajak/Patti by Gulab,₹ 276,₹ 325,75 g + 30 g + 1 pack (4 x 15.5 g)
Premium Soan Papdi by Bikano,₹ 185,₹ 210,
Gur Shalimar Gajak/Patti Gulab,₹ 120,,198 g
Kaju Katli by Amul,₹ 120,₹ 300,640 g
Gulab Jamun by Haldiram's,₹ 173,₹ 340,2 x 250 g
Classic Soan Papdi by Lal,₹ 150,,1 pack (275 g)
Dryfruit Patisa by Haldiram's,₹ 350,,701.6 g
Special Peanut Gajak/Patti Gulab,₹ 499,,300 g
Open & Eat Gulab Jamun by Gits,₹ 400,,400 g
Peanut Gajak Gulab,₹ 260,,500 g
Choras Moongfali Gajak Patti by Vijay Kumar Ajay Kumar Garg,₹ 168,₹ 280,400 g
Gur Gajak/Patti Gulab,₹ 288,₹ 320,500 g
Agra Chikki/Gajak by Vijay Kumar Ajay Kumar Garg,₹ 144,₹ 250,500 g
Rasgulla by Haldiram's,₹ 374,₹ 415,500 g
Bhatinda Gajak by Gulab,₹ 190,,
Agra Petha by Haldiram's,₹ 240,,1 kg
Royal Rasgulla by Bikano,₹ 58,₹ 99,200 g
Premium Dry Petha by Gulab,₹ 145,₹ 260,400 g
Karachi Halwa by Gulab,₹ 315,₹ 350,500 g
Ras Malai (Frozen) by Amul,₹ 181,₹ 255,1 kg
Pista Gajak by Gulab,₹ 207,₹ 230,250 g
Gol-M-Gol Gulab Jamun by Bikaji,₹ 240,,500 g
Assorted Premium Chikki by Gulab,₹ 369,₹ 410,500 g
Kaju Katli - Om Sweets,₹ 260,,500 g
Open & Eat Rasgulla by Gits,₹ 240,,1.25 kg (1 kg + 250 g)
Rasgulla by Amul,₹ 311,₹ 345,500 g
Gol-Matol Rasgulla by Bikaji,₹ 135,₹ 240,350 g
Cham Cham by Bikano,₹ 189,₹ 330,1 kg
Gur Pare Assorted Sweets by Gulab,₹ 81,₹ 160,400 g
Channa Burfi by Gulab,₹ 178,₹ 265,500 g
Badam Coconut Burfi by GO DESi,₹ 230,,500 g
Sugar Shalimar Gajak/Patti by Gulab,₹ 428,₹ 475,400 g
Moongdal Halwa - Gulab,₹ 210,₹ 275,
Shakkar Para by Gulab,₹ 252,₹ 280,200 g
Gud Tangdi by Gulab,₹ 960,,
Chaulai Patti by Gulab,₹ 187,₹ 255,1 kg
Raj Bhog by Haldiram's,₹ 210,,1 kg
Chana Patti by Gulab,₹ 191,₹ 250,
Open & Eat Rasgulla by Gits + Open & Eat Gulab Jamun by Gits Combo,₹ 213,₹ 240,1 kg
Sattu Laddu - Barosi,₹ 104,₹ 115,200 g
Festive Dhamaka Sweets Gift Pack - Lal,₹ 219,₹ 330,350 g
Luxury Arabian Baklava by Oasis Baklawa,₹ 99,₹ 120,96 g
Festive Utsav Gift Pack by Lal,₹ 338,₹ 375,500 g
Assorted Baklava (250 g) by The Baklava Box,₹ 194,₹ 215,250 g
Assorted Sweets Gift Pack by Om Sweets,₹ 104,₹ 115,200 g
Fusion Baklava by Oasis Baklawa,₹ 162,₹ 180,250 g
Chaitri Gulab Gulkand by Two Brothers Organic Farms,₹ 297,₹ 330,500 g
Rosello Baklava by Oasis Baklawa,₹ 223,₹ 270,1 kg
Special Patisa by Om Sweets,₹ 306,₹ 340,500 g
Gulab Milan Gift Pack,₹ 363,₹ 510,1 kg + 1 kg
Gulab Double Mithaas Gift Pack,₹ 449,,250 g
Jaggic Gud Peanut Candies,₹ 350,,1 pack (400 g)
Dry Fruit Besan Laddu by Haldiram's,₹ 495,,310 g
Family Pack Chikki by paper boat,₹ 299,,1 pack (400 g)
Gurh Khasta Gajak/Patti by Vijay Kumar Ajay Kumar Garg,₹ 550,,1 pack (6 pieces)
Besan Laddu By Lal,₹ 640,,800 g
Premium Mysore Pak by Lal,₹ 270,,
Moongfali Gajak Patti by Vijay Kumar Ajay Kumar Garg,₹ 485,₹ 499,300 g
Kaju Katli by Haldiram's,₹ 850,,740 g
Gur Rewdi by Gulab,₹ 210,,400 g
Gur Rewdi by Gulab + Gulab Peanut + Gulab Popcorn (Gajjak & Rewri Flavoured) Combo,₹ 707,₹ 785,870 g
Cow Ghee Soan Papdi by Haldiram's,₹ 576,₹ 640,2 kg
Gur Chana by Haldiram's,₹ 250,,450 g
Gur Roll Gajak/Patti Gulab,₹ 184,₹ 330,400 g
Til Patti/ Gajak by Vijay Kumar Ajay Kumar Garg,₹ 42,,96 g
Soan Papdi (Desi Ghee) by Gulab,₹ 230,,500 g
Kesar Peda by Lal,₹ 193,₹ 260,2 x 200 g
Dry Fruit Panjeeri Laddu by Haldiram's,₹ 130,,200 g
Panjeeri Laddu by Bikano,₹ 230,,500 g
Chana Dry Fruit Burfi by Haldiram's,₹ 240,,200 g
Gurh Elaichi Rewdi/Sikka by Vijay Kumar Ajay Kumar Garg,₹ 298,₹ 350,500 g
Til Moongfali Gajak Patti by Vijay Kumar Ajay Kumar Garg,₹ 504,₹ 625,500 g + 500 g + 100 g
Kaju Katli by Gulab,₹ 186,₹ 330,400 g
Sweet Rasgulla by Lal,₹ 50,,170 g
Jodhpuri Gajak by Gulab,₹ 432,₹ 480,500 g
Karachi Halwa by Lal,₹ 260,,500 g
Milk Cake by Lal,₹ 77,₹ 150,200 g
Til Papad Gajak/Patti Gulab,₹ 135,,200 g
Gurh Gulab Rewdi/Sikka by Vijay Kumar Ajay Kumar Garg,₹ 184,₹ 330,400 g
Till Bugga by Gulab,₹ 168,₹ 280,400 g
Gulab Jamun by Amul,₹ 277,₹ 499,400 g
Gajar Halwa By Gulab,₹ 230,,500 g
Ras Malai by Haldiram's,₹ 260,,500 g
Besan Burfi by Haldiram's,₹ 223,,200 g
Panjeeri Burfi by Haldiram's,₹ 240,,1 kg
Peanut Chikki (24 bars) by Pintola,₹ 360,,400 g
Kurkuri Punjabi Chikki by Jaggic,₹ 99,,200 g
Dharwad Peda by Lal,₹ 132,₹ 180,200 g
Kesar Peda by Amul,₹ 356,₹ 395,500 g
Sesame Chikki (24 bars) by Pintola,₹ 220,,500 g
Pista Coconut Burfi by GO DESi,₹ 158,₹ 175,200 g
Malai Peda by Amul,₹ 250,,1 kg
Milk Cake by Haldiram's,₹ 194,₹ 215,250 g
Big Rewdi by Gulab,₹ 184,₹ 250,1 kg
Gud Crispy Makhana by Gulab,₹ 171,₹ 299,400 g
Kaju Kishmish Coconut Burfi by GO DESi,₹ 195,₹ 350,400 g
Sugar Til Gajak/Patti Gulab,₹ 259,₹ 288,24 x 28 g
Dry Fruit Burfi by GO DESi,₹ 250,,400 g
Sweet Gulab Jamun by Lal,₹ 130,,200 g
Assorted Mewa Bites by Haldiram's,₹ 115,,200 g
Cham Cham by Haldiram's,₹ 315,₹ 360,24 x 28 g
Cheeni Khasta Gajak/Patti by Vijay Kumar Ajay Kumar Garg,₹ 99,₹ 120,96 g
Kaju Katli by Lal,₹ 110,,200 g
Motichoor Laddu by Lal,₹ 147,₹ 198,2 x 200 g
Chini Keveda Rewdi/Sikka by Vijay Kumar Ajay Kumar Garg,₹ 240,,350 g
Kaju Kishmish Coconut Burfi by GO DESi + Badam Coconut Burfi by GO DESi + Pista Coconut Burfi by GO DESi Combo,₹ 297,₹ 330,500 g
Baklava by Oasis Baklawa,₹ 85,₹ 170,75 g
Pista Rewdi by Gulab,₹ 99,₹ 120,96 g
Dodha Burfi by Haldiram's,₹ 329,₹ 365,500 g
Bombay Halwa by Lal,₹ 129,₹ 150,120 g
Kesar Laddu - Om Sweets,₹ 240,,1 kg
Ragi Laddu Barosi,₹ 359,₹ 649,350 g
Patisa - Om Sweets,₹ 184,₹ 250,1 kg
Kaju Katli by Bikano,₹ 240,,500 g
Panjeeri Laddu - Om Sweets,₹ 163,₹ 199,200 g
Fresh Kaju Katli by Haldiram's,₹ 99,,200 g
Mysore Pak by Haldiram's,₹ 230,,500 g
Royal Gulab Jamun by Bikano,₹ 294,₹ 360,96 g + 96 g + 96 g
Dodha Fresh Burfi by Om Sweets,₹ 395,,
Dry Fruit Halwa by Lal,₹ 370,,500 g
Panjeeri Laddu by Om Sweets,₹ 240,,350 g
Assorted Delight Sweets Haldiram's,₹ 66,₹ 110,200 g
Kesar Angoori Petha by Bikano,₹ 300,,400 g
Dhoda Burfi by Gulab,₹ 449,,250 g
Shahi Laddu by Haldiram's,₹ 300,,400 g
Dhoda Burfi by Om Sweets,₹ 380,,400 g
Fresh Kaju Katli by Om Sweets,₹ 300,,400 g
Dhoda Burfi - Om Sweets,₹ 625,,500 g
Churma Laddu by Haldiram's,₹ 195,₹ 350,400 g
Manbhawan Soan Papdi by Bikaji,₹ 189,₹ 330,1 kg
Rajgiri Laddu /Cholai Laddu/ Amaranth Laddu by Gulab,₹ 290,,500 g
Mille Festive Celebration Gift Box - Slurrp Farm,₹ 121,₹ 160,200 g
Gulab Jamun by Bikano,₹ 200,,400 g
Mithaas Assorted Halwa Gift Pack by Haldiram's,₹ 342,₹ 599,450 g
Rasgulla by Bikano,₹ 232,₹ 240,1 kg
Soan Papdi by Bambino,₹ 149,₹ 225,350 g
Bikano Royal Gift Pack (Dry Fruits & Sweets),₹ 240,,350 g
Farmley Date Bites,₹ 150,,200 g
Jaggic Gur Chana,₹ 480,,500 g
Pillsbury Chakki Fresh Atta -10 Kg,₹ 300,,400 g
Aashirvaad Shudh Chakki Whole Wheat Atta (5 kg),₹ 240,,350 g
Aashirvaad Shudh Chakki Whole Wheat Atta (10 kg),₹ 86,₹ 135,450 g
Whole Farm Chakki Atta,₹ 120,,160 g
Aashirvaad Multigrain Atta,"₹ 1,499",,400 g
Aashirvaad Select Whole Wheat Sharbati Atta,₹ 214,₹ 240,1 kg
"Fortune Chakki Fresh (100% Atta, 0% Maida) Atta",₹ 188,₹ 330,400 g
"Fortune Chakki Fresh (100% Atta, 0% Maida) Atta (10 kg)",₹ 213,₹ 240,1 kg
Aashirvaad Select Whole Wheat Sharbati Atta (10 kg),₹ 57,₹ 90,200 g
Patanjali Whole Wheat Chakki Atta (with Bran) 5 kg,₹ 699,,950 g
Vikram Mills Fresh Chakki Atta,₹ 369,₹ 400,
Aashirvaad M.P. Chakki Atta,₹ 150,,250 g
Nature Fresh Sampoorna Chakki Atta,₹ 382,₹ 473,10 kg
Patanjali Traditional Whole Wheat Chakki Atta (with Bran),₹ 223,₹ 235,5 kg
Pillsbury Multigrain Atta,₹ 408,₹ 449,10 kg
Pillsbury Gold Sharbati Atta,₹ 356,₹ 480,10 kg
Sharma Ji Ka Aata Multigrain Atta,₹ 300,₹ 347,5 kg
Sharma Ji Ka Aata - Wheat Atta,₹ 285,₹ 331,5 kg
Sharma Ji Ka Aata Chemical Free Atta,₹ 186,₹ 290,5 kg
Lo! Foods Ultra Low Carb Keto Atta,₹ 210,₹ 230,5 kg
Aashirvaad Sugar Release Control Atta,₹ 401,₹ 445,10 kg
Aashirvaad Organic Atta,₹ 551,₹ 650,10 kg
24 Mantra 7 Grain Organic Atta,₹ 224,₹ 234,5 kg
Organic Tattva Wheat Organic Atta 5 kg,₹ 588,₹ 684,10 kg
24 Mantra Whole Wheat Organic Atta,₹ 180,₹ 233,5 kg
Praakritik Organic Khapli Wheat Atta,₹ 244,₹ 280,5 kg
Amul Organic Atta (Whole Wheat),₹ 211,₹ 245,
Safe Harvest Wheat Pesticide Free Atta,₹ 419,₹ 448,10 kg
Pro Nature Whole Wheat Organic Atta,₹ 283,₹ 352,5 kg
Just Organik Organic Atta (Gluten Free),₹ 476,₹ 550,10 kg
Nutty Yogi Gluten Free Missi Atta,₹ 257,₹ 331,5 kg
Organic Tattva Wheat Organic Atta 1 kg,₹ 302,₹ 405,5 kg
Organic Tattva Multigrain Organic Atta,₹ 244,₹ 330,5 kg
Just Organik Whole Wheat Chakki Organic Atta,₹ 309,₹ 420,5 kg
Fortune Premium Kachi Ghani Pure Mustard Oil,₹ 338,₹ 375,500 g
Fortune Soya Health Refined Soyabean Oil,₹ 330,₹ 385,5 kg
Fortune Sunlite Refined Sunflower Oil,₹ 291,₹ 355,5 kg
Pansari Kacchi Ghani Mustard Oil,₹ 95,₹ 110,
Saffola Gold Power of 3 Refined Blended Cooking Oil,₹ 305,₹ 399,5 kg
Fortune Rice Bran Oil,₹ 354,₹ 370,5 kg
Barosi Cold Pressed Mustard Oil,₹ 164,₹ 169,
Barosi Cold Pressed Groundnut Oil,₹ 320,,5 kg
Saffola Active Pro Weight Watchers Edible Oil,₹ 301,₹ 365,5 kg
Patanjali Virgin Sesame Oil (Gingelly/Til Oil),₹ 377,₹ 396,5 kg
Patanjali Mustard Oil,₹ 335,,1.5 kg
Emami Healthy & Tasty Refined Soyabean Oil (Ultra Lite),₹ 298,,1 kg
Dhara Kachi Ghani Mustard Oil 1 l,₹ 358,₹ 431,10 kg
Emami Healthy & Tasty Strong Kachchi Ghani Mustard Oil,₹ 60,₹ 80,1 kg
Mahakosh Refined Soyabean Oil,₹ 91,₹ 125,1 kg
Saffola Gold Refined Blended Cooking Oil (Rice Bran + Corn) - Free 1 l Pouch,₹ 390,,5 kg
Dabur Cold Pressed Mustard Oil,₹ 132,₹ 160,1 l
Dalda Kachi Ghani Mustard Oil,₹ 115,₹ 130,1 l
Emami Healthy & Tasty Kachchi Ghani Mustard Oil,₹ 121,₹ 135,1 l
KLF Tilnad Gingelly/ Sesame Oil,₹ 128,₹ 155,1 l
Emami Healthy & Tasty Refined Rice Bran Oil,₹ 119,₹ 190,1 l
Figaro Extra Virgin Olive Oil,₹ 149,₹ 160,1 l
Oleev Pomace Olive Oil,₹ 131,₹ 149,1 l
Pansari Kachi Ghani Mustard Oil,₹ 388,₹ 440,1 l
Dalda Refined Groundnut Oil,₹ 454,₹ 540,1 l
Borges Olive Oil,₹ 135,₹ 160,1 l
Two Brothers Organic Farms Black Mustard Oil,₹ 247,₹ 350,2 l
Saffola Total Pro Heart Conscious Edible Oil,₹ 676,₹ 808,5 l
Emami Healthy & Tasty Kachi Ghani Mustard Oil,₹ 360,,
Jivo Cold Press Canola Oil,₹ 145,,1 l
Jivo Pomace Olive Oil,₹ 104,₹ 140,1 L
Figaro Spanish Brand Pure Olive Oil,₹ 135,₹ 170,1 l
Sundrop Superlite Advanced Sunflower Oil,₹ 126,₹ 165,1 l
